ECA,,,
China,TELLHOW SCI-TECH,Electrical Equipment,"137,751.00"
Cyprus,INTERTRADE INTERN,Building Materials,"4 0,408.32"
Cyprus,INTERTRADE INTERN,Communications Equipment,"114,879.12"
Cyprus,INFOTREND COMPANY,Electronic Equipment,"4 0,078.92"
Cyprus,INFOTREND COMPANY,Electronic Equipment,"4 0,078.92"
Cyprus,INFOTREND COMPANY,Furniture,"3 5,865.86"
Cyprus,INFOTREND COMPANY,Photocopiers,"7 1,275.00"
Denmark,DAN OFFICE,Communications Equipment,"6 8,649.00"
Denmark,DANOFFICE Plc,Computer Hardware,"333,903.00"
Denmark,DANOFFICE Plc,Computer Hardware,"6 0,500.00"
Denmark,DANOFFICE Plc,Computer Hardware,"4 4,479.00"
Denmark,DAN OFFICE IT,Computer Hardware,"3 7,475.00"
Denmark,DAN OFFICE IT,Computer Supplies,"112,070.00"
Denmark,DANOFFICE Plc,Computer Supplies,"4 2,213.00"
Djibouti,RED SEA AUTOMOTIV,Vehicles,"3 6,726.57"
Ethiopia,EQUATORIAL BUSINE,Medicines,"3 5,519.61"
Ethiopia,ETHIOPIAN TOURIST,Uniform Linen and Related,"3 9,600.00"
Ethiopia,ETHIOPIAN TOURIST,Uniform Linen and Related,"3 6,674.00"
France,BIOMERIEUX,Medical Equipment,"5 7,323.09"
Germany,Carestream Health,Medical Equipment,"8 8,340.00"
Germany,HEIDELBERG DRUCKM,Printing and Publishing Equipment,"1,153,396.43"
Germany,DAIMLER  A. g.,Vehicles,"6 3,147.44"
Germany,DAIMLER  A. g.,Vehicles,"4 4,424.10"
Ireland,APC by Schneider,Electronic Equipment,"109,769.00"
Israel,ONSET SYSTEMS ENG,Communications Equipment,"194,649.00"
Israel,ONSET SYSTEMS ENG,Communications Equipment,"185,714.29"
Israel,ORAD  CONTROL  SO,Electronic Equipment,"4,727,280.00"
Israel,ARES A. N INTERNA,Electronic Equipment,"7 3,150.00"
Italy,INTERTRADE INTERN,Computer Hardware,"3 3,012.95"
Italy,INTERTRADE INTERN,Electronic Equipment,"107,313.27"
Italy,INTERTRADE INTERN,Electronic Equipment,"8 5,089.70"
Italy,INTERTRADE INTERN,Fire Fighting Equipment & Supplies,"5 9,310.00"
Italy,INTERTRADE INTERN,Furniture,"3 6,760.56"
Italy,INTERTRADE INTERN,Kitchen & Cafeteria Supplies/ Cutlery,"3 3,780.25"
Italy,A BELLOMI S R L,Office Supplies & Stationery,"165,162.07"
Italy,A BELLOMI S R L,Office Supplies & Stationery,"9 4,197.14"
Italy,INTERTRADE INTERN,Printing and Publishing Equipment,"7 4,734.15"
Italy,INTERTRADE INTERN,Printing and Publishing Supplies,"7 1,539.00"
Italy,INTERTRADE INTERN,Server,"5 8,180.20"
Kenya,NEURONET PLC,Computer Software,"9 9,976.89"
Kenya,ESRI Eastern Afri,Computer Software,"3 0,579.45"
Kenya,VECTOR INTERNATIO,Electrical Equipment,"3 7,812.01"
Kenya,NJIMIA PHARMACEUT,Medicines,"5 6,070.95"
Kenya,NJIMIA PHARMACEUT,Medicines,"3 9,250.78"
Kenya,MFI OFFICE SOLUTI,Printing and Publishing Supplies,"3 4,950.00"
Kenya,BEDI INVESTMENTS,Uniform Linen and Related,"3 3,403.40"
Netherlands,Autocar Internati,Vehicles,"5 7,936.00"
South Africa,SCHINDLER LIFT (S,Electrical Equipment,"320,627.00"
Sweden,AASTRA TELECOM SW,Communications Equipment,"3 5,799.37"
Sweden,AASTRA TELECOM SW,Telephone Apparatus,"3 8,719.37"
United Arab Emirates,EBASCO TRADING CO,Banners/ Flags/ Logos,"3 9,779.05"
United Arab Emirates,TRUEBELL MARKETIN,Computer Hardware,"3 0,020.00"
United Arab Emirates,TRUEBELL MARKETIN,Electrical Equipment,"4 4,370.00"
United Arab Emirates,EBASCO TRADING CO,Office Supplies & Stationery,"3 0,433.00"
United Arab Emirates,EBASCO TRADING CO,Promotional Material,"3 1,500.00"
United Arab Emirates,EBASCO TRADING CO,Vehicles,"3 3,677.38"
United Kingdom,MOTOROLA,Communications Equipment,"7 5,079.50"
United Kingdom,UNIVERSAL PROCURE,Communications Equipment,"3 9,763.44"
United Kingdom,MOTOROLA,Communications Equipment,"3 4,027.44"
United Kingdom,KGT (UK) LTD,Electrical Equipment,"5 6,324.75"
United Kingdom,WINCHESTER PROCUR,Electrical Equipment,"5 1,610.20"
United Kingdom,WINCHESTER PROCUR,Electrical Equipment,"3 2,303.00"
United Kingdom,WINCHESTER PROCUR,Electronic Equipment,"5 1,838.69"
United Kingdom,WINCHESTER PROCUR,Gases,"3 0,179.85"
United Kingdom,SHEARGOLD LTD,ID Card,"131,215.00"
United Kingdom,BANNERBRIDGE Plc,ID Card,"3 5,172.00"
United Kingdom,BANNERBRIDGE Plc,ID Card,"3 1,901.00"
United Kingdom,BANNERBRIDGE Plc,Office Supplies & Stationery,"5 8,966.40"
United Kingdom,WINCHESTER PROCUR,Photocopiers,"4 0,490.99"
United Kingdom,WINCHESTER PROCUR,Printing and Publishing Supplies,"7 4,979.50"
United Kingdom,SHEARGOLD LTD,Vehicle Spare Parts/ Accessories & Rela,"7 4,540.00"
