ECLAC,,,
Chile,COSMOPLAS S.A.,Air Conditioning Equipment (for office space remodeling),"235,617.81"
Chile,INGENIERIA DE PROTECCION S.A.,Large tent for temporary cafeteria,"57,359.36"
Chile,INSTAPLAN S.A.,Air Conditioning Equipment (for LAN rooms),"59,088.55"
Chile,NETSECURE INFORMATICA LTDA.,Software products (Checkpoints products),"63,250.66"
Chile,ROLEC COMERCIAL E INDUSTRIAL S.A.,Electrical panels,"74,018.70"
Chile,SABIC POLYMERSHAPES CHILE S.A.,Lighting Equipment (Solatube Kit),"52,130.27"
Chile,SISDEF LIMITADA,"Security and Safety Equipment (incl. Smoke Detectors, etc)","30,787.75"
Chile,SUMINISTRA S.A.,"Software products (IBM Lotus Domino, etc)","71,347.56"
Denmark,DAN:OFFICE APS,Processing Units for EDP and Accessories,"32,590.00"
Spain,AQUATICA INGENIERIA CIVIL S.L.,Waves and Winds Database,"64,841.50"
United States of America,PLANSON INTERNATIONAL CORPORATION,"Software products (Adobe Acrobat, Photoshop, etc)","37,609.00"
United States of America,WALDNER'S BUSINESS ENVIRONMENTS,Modular Workstations (for new building),"136,354.34"
United States of America,WALDNER'S BUSINESS ENVIRONMENTS,Modular Workstations (for office space remodeling),"399,075.16"
ESCAP,,,
Thailand,"BOATBOOK STATIONERY CO., LTD.",Provision of stationery and office supplies,"49,787.87"
Thailand,FUJITSU SYSTEMS BUSINESS (THAILAND) LTD.,Microsoft software license: under Agreement no. 01S67245:IMCT,"74,294.53"
Thailand,"GLOBAL FLEET SALES CO., LTD.",Official Vehicle LAND ROVER for SSS,"38,640.00"
Thailand,T.R. ENTERPRISE,Printing of Economic and Social Survey 2010,"48,930.61"
United States of America,"CISCO SYSTEMS, INC.",CISCO Handsets - IPT project,"326,775.20"
United States of America,"CISCO SYSTEMS, INC.",CISCO Network Equipment IPT Project IMCTS,"530,519.62"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Desktops for IMCTS,"88,800.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Desktops for IMCTS,"88,800.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Laptops for IMCTS,"40,152.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo PCs and Monitors for IMCTS,"147,680.00"
ESCWA,,,
Denmark,Danoffice,Toners,"44,627.60"
Lebanon,Midware,Laptops,"70,600.00"
Lebanon,Regency,Leather Sofas,"31,090.00"
FAO,,,
Australia,AUSTRALIAN MEDICAL & DIAGNOSTICS,Laboratory furniture,"83,747.50"
Australia,CODAN LTD,Codan SRX Base UN& Codan NGT SRX Mob UNand accessories,"410,790.45"
Australia,KIMSEED INTERNATIONAL PTY LTD,"Seed Germinator for Azerbaijan, Kazakhstan Eritrea & Yemen","108,719.00"
Austria,AMEX EXPORT- IMPORT GMBH,Diagnostic & Reagents for EGYPT,"155,287.20"
Austria,AMEX EXPORT- IMPORT GMBH,LABORATORY EQUIPMENT,"76,384.99"
Austria,AMEX EXPORT- IMPORT GMBH,LABORATORY EQUIPMENT,"112,939.20"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Equipment Algiers,"144,845.00"
Austria,AMEX EXPORT- IMPORT GMBH,"Laboratory Equipment for Algiers, Mauritania & Tunis","37,285.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Equipment for Mauritania,"72,659.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Equipment for Morocco,"132,691.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Equipment for Sri Lanka and Kazakhstan,"34,166.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Equipment for Tunis,"79,442.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory equipment for various projects,"42,842.00"
