Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
METAG CONSTRUCTION & PRODUCTION,AFG,114000,PFP TRUST FUND SERVICES,Orders Awarded,2009,Q3Q4,Afghanistan,PROCUREMENT
OSMANY ENGINEERING CONSTRUCTION,AFG,378200,KAF RLS SERVICES,Orders Awarded,2010,Q3Q4,Afghanistan,PROCUREMENT
KBY INTERNATIONAL,AFG,91058,KAF - MRI SCANNER TRAILER CONCRETE PAD,Orders Awarded,2011,Q3Q4,Afghanistan,PROCUREMENT
ATAL DURAN CO LTD,AFG,97107,KAF - MHE RENTAL FOR DEMOBILISATION OF FORCES,Orders Awarded,2011,Q3Q4,Afghanistan,PROCUREMENT
OSMANY ENGINEERING CONSTRUCTION,AFG,378200,KAF RLS SERVICES,Orders Awarded,2011,Q1Q2,Afghanistan,PROCUREMENT
GREEN UNITED GROUP INC,AFG,141681,LPG BOTTLES REFILL,Orders Awarded,2012,Q1Q2,Afghanistan,PROCUREMENT
USFOR-A J8 Qargha project,AFG,406997,DLA FOOD SERVICE,Outline Agreement,2012,Q3Q4,Afghanistan,PROCUREMENT
UNIQUE MARWAT LOGISTICS AND,AFG,85746,CONSTRUCTION WORKS,Orders Awarded,2015,Q3Q4,Afghanistan,PROCUREMENT
MOHAMMAD ZARIF CONSTRUCTION BAHA,AFG,85288,HKIA OPERATIONS SUPPORT,Orders Awarded,2016,Q3Q4,Afghanistan,PROCUREMENT
MOHAMMAD ZARIF CONSTRUCTION BAHA,AFG,86865,CONCRETE PLATFORM INSTALLATION KABUL,Orders Awarded,2016,Q3Q4,Afghanistan,PROCUREMENT
ACCESS POINT GROUP,AFG,,MOK160012,,2016,Q3Q4,Afghanistan,BIDDING
HARD BUILDERS,AFG,,TPA18004,,2018,Q1Q2,Afghanistan,BIDDING
AFGHAN YAAR CONSTRUCTION COMPANY,AFG,207075,PROVISION AND INSTALLATION OF ACCOMMODATION FURNITURE,Orders Awarded,2018,Q1Q2,Afghanistan,PROCUREMENT
ULP-MJEKES,ALB,1250000,DEMILITARIZATION PROJECT IN ALABANIA,Outline Agreement,2011,Q3Q4,Albania,PROCUREMENT
ULP-MJEKES,ALB,1307395,AMMUNITION DEMILITARIZATION IN ALBA,Orders Awarded,2011,Q1Q2,Albania,PROCUREMENT
EX FIS,ALB,20334747,KFOR FUEL SERVICE,Outline Agreement,2012,Q3Q4,Albania,PROCUREMENT
UZINA MEKANIKE GRAMSH,ALB,300000,DEMIL OF SMALL ARMS AND LIGHT WEAPONS,Outline Agreement,2013,Q3Q4,Albania,PROCUREMENT
NAI LOGISTICS BV,ALB,,BRN140001,,2014,Q1Q2,Albania,BIDDING
EUROING,ALB,,SDB140008,,2015,Q1Q2,Albania,BIDDING
ITBM,ALB,,SDB140008,,2015,Q1Q2,Albania,BIDDING
PROLOG SOLUTIONS,ARE,77536,GENERATOR PROVISION,Orders Awarded,2009,Q3Q4,United Arab Emirates,PROCUREMENT
PROLOG SOLUTIONS,ARE,91140,REAL LIFE SUPPORT,Orders Awarded,2009,Q1Q2,United Arab Emirates,PROCUREMENT
PROLOG SOLUTIONS,ARE,174535,INFRASTRUCTURE WORKS,Orders Awarded,2009,Q1Q2,United Arab Emirates,PROCUREMENT
PROLOG SOLUTIONS,ARE,428294,GENERATOR PROVISION,Orders Awarded,2009,Q3Q4,United Arab Emirates,PROCUREMENT
SEVEN SEAS SHIPCHANDLERS LLC,ARE,105120,KAF RLS SERVICES,Orders Awarded,2010,Q3Q4,United Arab Emirates,PROCUREMENT
PROLOG SOLUTIONS,ARE,189772,KAF RLS PROJECT SERVICES,Orders Awarded,2010,Q1Q2,United Arab Emirates,PROCUREMENT
SEVEN SEAS SHIPCHANDLERS LLC,ARE,105120,KAF RLS SERVICES,Orders Awarded,2011,Q1Q2,United Arab Emirates,PROCUREMENT
PRIME PROJECTS INTERNATIONAL,ARE,125418,KAF RLS PROJECT SERVICES,Orders Awarded,2011,Q1Q2,United Arab Emirates,PROCUREMENT
SUPREME FUELS GMBH & CO KG,ARE,208739100,KAF RLS SERVICES,Outline Agreement,2011,Q1Q2,United Arab Emirates,PROCUREMENT
PRIME PROJECTS INTERNATIONAL,ARE,91428,CRANE WITH DRIVER,Orders Awarded,2012,Q1Q2,United Arab Emirates,PROCUREMENT
FIOMARINE INDUSTRIES PTY LIMITED,AUS,129469,SUPPLY OF MINE RECOVERY SYSTEM,Orders Awarded,2017,Q1Q2,Australia,PROCUREMENT
RHEINMETALL WAFFE MUNITION ARGES,AUT,390430,AMMUNITION SUPPLIES,Orders Awarded,2009,Q1Q2,Austria,PROCUREMENT
AMST-SYSTEMTECHNIK GMBH,AUT,1506409,HELICOPTER SERVICES,Orders Awarded,2009,Q3Q4,Austria,PROCUREMENT
HIRTENBERGER DEFENCE SYSTEMS,AUT,704370,AMMUNITION SUPPLIES,Orders Awarded,2010,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,251120,SLEEPING BAG TROPEN SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
HIRTENBERGER DEFENCE SYSTEMS GMBH &,AUT,251200,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Austria,PROCUREMENT
SCOTTY GROUP AUSTRIA GMBH,AUT,348875,HELICOPTER SPARES,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,350020,SLEEPING BAG DEFENCE 4 SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,364766,SLEEPING BAG TROPEN SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
SATTLER AG,AUT,396720,3 SECTION NM240 TENT,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,417525,SLEEPING BAG DEFENCE 4 SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
