organisation,year,vendor_country,vendor_name,amount,description,country_code,Type,Period
NATO,2008,Belgium,INFRAVISION BVBA,1259084.4,SOFTWARE LICENCES AND PRODUCT MAINTENANCE,BEL,Orders Awarded,Q3Q4
NATO,2008,Belgium,THALES BELGIUM SA,1830885.0,SUPPLIES FOR AWACS,BEL,Orders Awarded,Q3Q4
NATO,2008,Belgium,THALES BELGIUM SA,169478488.83,48 PROTECTED VEHICLE PLATFORMS (DINGO II) INTEGRATION OF THE MISSION KIT INTO THE VEHICLE PLATFORM AND LOGISTIC SUPPORT,BEL,Orders Awarded,Q1Q2
NATO,2008,Belgium,THALES BELGIUM SA,169478488.83,"48 PROTECTED VEHICLE PLATFORMS (DINGO II), INTEGRATION OF THE MISSION KIT INTO THE VEHICLE PLATFORM AND LOGISTIC SUPPORT",BEL,Orders Awarded,Q1Q2
NATO,2008,Bulgaria,VMZ CO,2180010.0,SUPPLY OF AMMUNITION - 40 MM ROUNDS,BGR,Orders Awarded,Q1Q2
NATO,2008,Bulgaria,VMZ CO,2180010.0,SUPPLY OF AMMUNITION - 40 MM ROUNDS,BGR,Orders Awarded,Q1Q2
NATO,2008,Canada,BRISTOL AEROSPACE LTD,2188453.68,PROCUREMENT OF BOOSTERS FOR CL289,CAN,Orders Awarded,Q1Q2
NATO,2008,Canada,BRISTOL AEROSPACE LTD,2188453.68,PROCUREMENT OF BOOSTERS FOR CL289,CAN,Orders Awarded,Q1Q2
NATO,2008,Denmark,BUKKEHAVE A/S,2236850.49,CP156 VEHICLES,DNK,Orders Awarded,Q1Q2
NATO,2008,Denmark,BUKKEHAVE A/S,2236850.49,CP156 VEHICLES,DNK,Orders Awarded,Q1Q2
NATO,2008,Denmark,BUKKEHAVE A/S,12402240.06,CP149 VEHICLES,DNK,Orders Awarded,Q1Q2
NATO,2008,Denmark,BUKKEHAVE A/S,12402240.06,CP149 VEHICLES,DNK,Orders Awarded,Q1Q2
NATO,2008,Finland,BRP FINLAND OY,2463057.03,SNOWMOBILES,FIN,Orders Awarded,Q3Q4
NATO,2008,France,EUROCOPTER FRANCE,1598086.98,PROC. OF INFRA RED SUPPRESSORS- COUGAR UPGRADE PROJECT,FRA,Orders Awarded,Q3Q4
NATO,2008,France,EUROCOPTER FRANCE,1973977.74,COUGAR UPGRADE PROJECT,FRA,Orders Awarded,Q3Q4
NATO,2008,France,HECKLER & KOCH FRANCE SAS,1278181.17,SUPPLY OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2008,France,HECKLER & KOCH FRANCE SAS,1545818.19,SUPPLY OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2008,France,NBC-SYS / GIAT INDUSTRIES,3017028.0,SUPPLY OF GAS MASK,FRA,Orders Awarded,Q3Q4
NATO,2008,France,RENAULT TRUCKS SAS,4095427.35,CP109 DARS PROVISION OF VEHICLES 2008,FRA,Orders Awarded,Q1Q2
NATO,2008,France,RENAULT TRUCKS SAS,4095427.35,CP109 DARS PROVISION OF VEHICLES 2008,FRA,Orders Awarded,Q1Q2
NATO,2008,France,RENAULT TRUCKS SAS,10125955.35,CP156 VEHICLES,FRA,Orders Awarded,Q1Q2
NATO,2008,France,RENAULT TRUCKS SAS,10125955.35,CP156 VEHICLES,FRA,Orders Awarded,Q1Q2
NATO,2008,France,SAE ALSETEX,1182911.94,SUPPLY OF AMMUNITION,FRA,Orders Awarded,Q3Q4
NATO,2008,France,THALES ELECTRON DEVICES,3113460.0,SUPPLY OF ELECTRON TUBES,FRA,Orders Awarded,Q1Q2
NATO,2008,France,THALES ELECTRON DEVICES,3113460.0,SUPPLY OF ELECTRON TUBES,FRA,Orders Awarded,Q1Q2
NATO,2008,France,THALES OPTRONIQUE SA,1884598.8,GENERIC TEST BENCH,FRA,Orders Awarded,Q3Q4
NATO,2008,Germany,CAE ELECTRONICS GMBH,2013354.63,MODIFICATION OF HELICOPTER FLIGHT SIMULATORS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,CAE ELECTRONICS GMBH,2013354.63,MODIFICATION OF HELICOPTER FLIGHT SIMULATORS SIMULATORS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,CAE ELECTRONICS GMBH,2352000.0,MODIFICATION OF A FLIGHT & TACTICS,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,CAE ELECTRONICS GMBH,10083875.13,SIMULATOR (IG UPGRADE),DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,COMLOG,1137609.48,R&R AND MODIFICATION FOR PATRIOT,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,COMLOG,1408628.97,R&R AND MODIFICATION FOR PATRIOT,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,COMLOG,4116000.0,"UPGRADE ATM TO GEM-T, EURO PART",DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,COMLOG,4116000.0,"UPGRADE ATM TO GEM-T, EURO PART",DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,COMLOG,6187994.4,R&R AND MODIFICATION FOR PATRIOT,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,COMLOG,39982039.02,"UPGRADE ATM TO GEM-T, US-$ PART",DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,COMLOG,39982039.02,"UPGRADE ATM TO GEM-T, US-$ PART",DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,DIEHL & EAGLE-PICHER GMBH,1219972.11,SUPPLY OF BATTERIES,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,DIEHL & EAGLE-PICHER GMBH,1219972.11,SUPPLY OF BATTERIES,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,DIEHL & EAGLE-PICHER GMBH,1396535.28,R&R PRODUCTION OF BATTERIES FOR PATRIOT,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,EADS DEUTSCHLAND GMBH,2873262.0,PDS ROUTINE TASKS FOR CL289 DURING THE YEAR 2008,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,EADS DEUTSCHLAND GMBH,2873262.0,PDS ROUTINE TASKS FOR CL289 DURING THE YEAR 2008,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,EADS- DORNIER,17826078.48,DLM OF THE E-3A A/C TAIL # 449.,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,EURO-ART,1518443.85,SUPPLY OF SPARES FOR COBRA,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,EURO-ART,1518443.85,SUPPLY OF SPARES FOR COBRA,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,EURO-ART,2384387.04,SUPPLY OF SPARES FOR COBRA,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,EURO-ART,2384387.04,SUPPLY OF SPARES FOR COBRA,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,FFG FLENSBURGER FAHRZEUGBAU GMBH,4762800.0,OVERHAUL /  MOD FOR AVLB,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,FFG FLENSBURGER FAHRZEUGBAU GMBH,4948020.0,OVERHAUL /  MOD FOR AVLB,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,HQ GENERAL SUPPORT CENTER EUROPE,1074168.69,US SAMS PARTS,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,HQ GENERAL SUPPORT CENTER EUROPE,1186573.71,REPAIR OF THE FUEL CONTROL ASSEMBLIES OF THE M1 ENGINE,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,HQ GENERAL SUPPORT CENTER EUROPE,1186573.71,REPAIR OF THE FUEL CONTROL ASSEMBLIES OF THE M1 ENGINE,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1102500.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1205400.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1205400.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1205400.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1205400.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1205400.0,OVERHAUL/MOD FOR M939/M872,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,INDUSTRIEWERKE SAAR GMBH,1499770.44,REPAIRS FOR MLRS,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,JUNGHANS MICROTEC GMBH,36336803.58,SUPPLY OF AMMUNITION,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,LIEBHERR-AEROSPACE LINDENBERG GMBH,1356075.0,PROCUREMENT OF SPARE PARTS FOR C160 TRANSALL A/C,DEU,Orders Awarded,Q1Q2
